name,category,ticket_class,iso_code,members
River',Solo,GBB21 top3,250,
[cancelled] FootboxG,Solo,GBB21 top3,56,
King Inertia,Solo,GBB21 7toSmoke,840,
momimaru,Solo,BEATCITY JAPAN,392,
Waali,Solo,Maestro Beatbox America 2022,152,
pono,Solo,Oceania Beatbox World Competition 2023,840,
maxo,Solo,European Beatbox Championship 2023,100,
Wing,Solo,Wildcard 1,410,
ICE,Solo,Wildcard 2,682,
NaPoM,Solo,Wildcard 3,840,
helium,Solo,Wildcard 4,643,
Mr. Androide,Solo,Wildcard 5,152,
Den,Solo,Wildcard 6,124,
JP,Solo,Wildcard 7,458,
dilip,Solo,Wildcard 8,356,
ZVD,Solo,Wildcard 9,840,
Improver,Solo,Wildcard 10,643,
[cancelled] Max,Solo,Wildcard 11,376,
H-has,Solo,Wildcard 12,410,
BizKit,Solo,Wildcard 13,840,
Rogue Wave,Tag Team,GBB21 top3,250,"Colaps, River'"
Rofu,Tag Team,GBB21 top3,392,"Fuga, HIRO"
Jairo,Tag Team,Wildcard 1,392,"YAMORI, John-T"
ZieGer,Tag Team,Wildcard 2,392,"Yuichi, Yuske"
Huskey,Tag Team,Wildcard 3,392,"RUSY, Kohey"
[cancelled] Hippy & Max,Tag Team,Wildcard 4,376,"Hippy, Max"
Jackpot,Tag Team,Wildcard 5,410,"WinG, Hellcat"
Pahlawan,Tag Team,Wildcard 6,458,"Artsy, Heartzel"
Lotus,Tag Team,Wildcard 7,840,"ZVD, Rahul"
BizKit,Loopstation,GBB21 top2,840,
BreZ,Loopstation,Wildcard 1,250,
Josh O,Loopstation,Wildcard 2,840,
Dice,Loopstation,Wildcard 3,410,
Robin,Loopstation,Wildcard 4,250,
[cancelled] Epos,Loopstation,Wildcard 5,826,
AVH,Loopstation,Wildcard 6,528,
Mirsa,Loopstation,Wildcard 7,250,
Matej,Loopstation,Wildcard 8,40,
Frosty,Producer showcase,GBB21 top2,826,
SyJo,Producer showcase,Wildcard 1,276,
Kaos,Producer showcase,Wildcard 2,276,
KBA,Producer showcase,Wildcard 3,208,
[cancelled] Oxygenic,Producer showcase,Wildcard 4,410,
Antrix,Producer showcase,Wildcard 5,276,
FRIIDON,Producer showcase,Wildcard 6,276,
M.O.M,Crew,GBB21,40,"Geo Popoff, Eon, Slizzer"
SARUKANI,Crew,Wildcard 1,392,"SO-SO, RUSY, KAJI, Kohey"
YA NA HA,Crew,Wildcard 2,643,"Helium, Vahtang, Andrey Grizz-Lee, Taras Stanin"
[cancelled] SQUID,Crew,Wildcard 3,250,"BreZ, Efaybee, Robin, ORFEY, Chris TheOdian"
End Of the Game,Crew,Wildcard 4,250,"K.I.M., Faya Braz, Colaps, Scouilla"
The Razzzones,Crew,Wildcard 5,276,"ChloroPhil, Marvelin, Bricks, Kays"
Desible,Crew,Wildcard 6,356,"Mihir, Shivali, SonuBBX, Wah Da Fu"
[cancelled] Miklz,U18,Wildcard 1,804,
Julard,U18,Wildcard 2,250,
Serpant,U18,Wildcard 3,410,
Delty,U18,Wildcard 4,826,
Lennsi,U18,Wildcard 5,276,
[cancelled] Leevy,U18,Wildcard 6,458,
BP,U18,Wildcard 7,276,
Wand,U18,Wildcard 8,410,
Marvelous,U18,Wildcard 11,360,
Clarkceds,U18,Wildcard 12,702,
[cancelled] Middle school,Tag Team,GBB21 top3,56,"FootboxG, Supernova"
[cancelled] Colaps,Solo,GBB21 top3,250,
